Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Assemblies,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
1,1771114,Phoenix Contact,TERM BLK 4P TOP ENTRY 2.5MM SMD,,"10,409",In Stock,50,,2,100,Cut Tape (CT),277-2074-1-ND,1.09000,$109.00,1,,277-2074-2-ND,6,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/647/1771114.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.90.4000,India,https://www.phoenixcontact.com/en-us/products/product-compliance,277-2074-2-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/010/129/111/1771114_web%28640x640%29.jpg,
2,RMCF0805FT120R,Stackpole Electronics Inc,RES 120 OHM 1% 1/8W 0805,,"171,897",In Stock,50,,1,50,Cut Tape (CT),738-RMCF0805FT120RCT-ND,0.00600,$0.30,1,,738-RMCF0805FT120RTR-ND,17,https://www.seielect.com/catalog/SEI-RMCF_RMCP.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.seielect.com/catalog/SEI-RoHS_Compliance_Status.pdf|https://www.seielect.com/catalog/reach.pdf|https://www.seielect.com/catalog/sei-coc%20prop%2065.pdf,738-RMCF0805FT120RTR-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2597/MFG_RMC%20SERIES.jpg,
3,M20-9770246,Harwin Inc.,CONN HEADER VERT 2POS 2.54MM,,"65,613",In Stock,50,,1,50,Bulk,952-1770-ND,0.08100,$4.05,1,,952-1770-ND,21,https://content.harwin.com/m/847482046069c548/original/PD008-Product-Datasheet-INDESS-range-M20-and-M22-BBi.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.69.4040,Taiwan,https://cdn.harwin.com/pdfs/HF-338_REACH_Statement.pdf,952-1770-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/15/M20-9xx0246.jpg,
4,QPC02SXGN-RC,Sullins Connector Solutions,"CONN JUMPER SHORTING .100"" GOLD",,"998,381",In Stock,50,,1,50,Bag,S9337-ND,0.02500,$1.25,1,,S9337-ND,11,https://s3.amazonaws.com/catalogspreads-pdf/PAGE128-129%20.100%20JUMPER.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8536.90.4000,Taiwan,https://www.sullinscorp.com/wp-content/uploads/2019/03/Sullins-RoHS-Compliant-Statement.pdf|https://www.sullinscorp.com/wp-content/uploads/2025/02/Sullins-REACH-247-SVHC-Compliant-Statement.pdf,S9337-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/010/130/612/QPC02SXGN-RC_web%28640x640%29.jpg,
